Surveyor,GlobalID,Tree species scientific,Height of tree (m),DBH (cm),Density,x,y
Nick Metherall Nasolo June 2022,088df9e6-8f99-4b95-b191-4996d70c52f8,Carica papaya,3.9,5.3,0.75,177.6822195,-17.57251633
Nick Metherall Nasolo June 2022,52e56696-fcc5-4ead-a3c4-6943d9659211,Spathodea campanulata,8.2,11.8,0.45,177.6837022,-17.57218267
Nick Metherall Nasolo June 2022,b127db32-d95b-46c4-863c-60bac9561997,Spathodea campanulata,4,9.5,0.45,177.683416,-17.571672
Nick Metherall Nasolo June 2022,c5e61007-9ca3-49fe-8af2-be6e3c45a5d7,Spathodea campanulata,16.3,50.3,0.45,177.6836867,-17.57213167
Nick Metherall Nasolo June 2022,e7065e0a-a2fa-4f3b-a11d-5debd5634e51,Spathodea campanulata,17.4,53.2,0.45,177.6836795,-17.5721555
Nick Metherall Nasolo June 2022,757b0124-f308-45cb-8342-ff6f7ca2c49a,Spathodea campanulata,11.7,18.6,0.45,177.6836598,-17.57218717
Nick Metherall Nasolo June 2022,ab3d3520-33d7-4e5c-8f09-4646935beae7,Spathodea campanulata,14.9,43.9,0.45,177.683618,-17.57219867
Nick Metherall Nasolo June 2022,644d2fa1-7296-443a-be9b-e23881012f98,Spathodea campanulata,15.3,42.2,0.45,177.6836088,-17.57222683
Nick Metherall Nasolo June 2022,80f9777e-af9d-47db-8b67-baab59b95408,Spathodea campanulata,14.4,27.3,0.45,177.683619,-17.57221667
Nick Metherall Nasolo June 2022,6524d52e-99be-42a3-8ec5-bb736765f961,Spathodea campanulata,8.6,12.1,0.45,177.6836047,-17.5722425
Nick Metherall Nasolo June 2022,657d4bb7-cd37-4b8f-8860-b546b2a785f8,Spathodea campanulata,5.7,8.4,0.45,177.6836162,-17.57224983
Nick Metherall Nasolo June 2022,5e677312-ff91-4d64-a5e7-1658030568e5,Spathodea campanulata,3.7,8.3,0.45,177.683416,-17.571672
Nick Metherall Nasolo June 2022,5ad83b25-8ff3-4047-9bc9-d2e6069c0717,Carica papaya,3.7,5,0.45,177.6836295,-17.572242
Nick Metherall Nasolo June 2022,bddc552f-3c57-47d2-a9fc-bbe24a43fe6e,Spathodea campanulata,10.6,19.3,0.45,177.683416,-17.571672
Nick Metherall Nasolo June 2022,93cfa761-fe44-4fb0-8bb6-10802e84b575,Spathodea campanulata,9.4,11.6,0.45,177.6835973,-17.5722695
Nick Metherall Nasolo June 2022,3f766145-b806-413d-9c31-2cc8fe81c9e0,Spathodea campanulata,9.1,10,0.45,177.6836077,-17.5722535
Nick Metherall Nasolo June 2022,80a03135-a075-45df-9ade-61a5be567406,Spathodea campanulata,7.4,10.7,0.45,177.683587,-17.572261
Nick Metherall Nasolo June 2022,11e2b0f6-742e-4bb7-bb6d-6545424d6167,Spathodea campanulata,8.7,20.2,0.64,177.6835845,-17.57225233
Nick Metherall Nasolo June 2022,b4f994ef-3e82-49b1-9985-ee82d5d8e94c,Spathodea campanulata,12.4,18,0.64,177.6835867,-17.57224317
Nick Metherall Nasolo June 2022,874cf47a-f631-4251-b48f-714bc2e635fa,Spathodea campanulata,16.9,29.7,0.25,177.6835875,-17.57222117
Nick Metherall Nasolo June 2022,1e974da2-42c3-4c08-a4a5-d3a309d592c2,Spathodea campanulata,4.9,12.5,#N/A,177.6835647,-17.57223833
Nick Metherall Nasolo June 2022,d0e89e9d-82cb-4da3-9e1d-ed100e00fb54,Spathodea campanulata,8.4,20.2,0.64,177.6835618,-17.57223567
Nick Metherall Nasolo June 2022,11bbd117-dac9-49e8-9081-a4377fb8b224,Spathodea campanulata,17.3,61.3,0.64,177.6835555,-17.572215
Nick Metherall Nasolo June 2022,29103c90-f894-4247-a9af-1380b0af2bd8,Spathodea campanulata,9.1,16.5,0.25,177.6835502,-17.572224
Nick Metherall Nasolo June 2022,9d4f665c-1765-4dad-a063-4f8d3be184fb,Spathodea campanulata,13.1,24.1,0.45,177.6835265,-17.57223967
Nick Metherall Nasolo June 2022,3f5ed726-c0d8-44d9-9777-dea7fb24a54c,Spathodea campanulata,8,10.2,0.64,177.6835058,-17.57224117
Nick Metherall Nasolo June 2022,8e3b6a5d-252f-424e-86fc-b8d5a85fe940,Spathodea campanulata,7.6,9.6,0.45,177.6835428,-17.57223567
Nick Metherall Nasolo June 2022,d201c35f-4e40-490c-84a4-bf30756a6ee2,Spathodea campanulata,9.1,12.2,0.64,177.683525,-17.57223933
Nick Metherall Nasolo June 2022,4e9f31d6-914d-466b-b15d-21d61d7edb16,Spathodea campanulata,10.2,18.4,0.52,177.6835212,-17.57223
Nick Metherall Nasolo June 2022,6d871e6a-448d-4872-ac2e-6727d3c7289a,Spathodea campanulata,14.5,30.1,0.45,177.6835107,-17.5722275
Nick Metherall Nasolo June 2022,69bc9f71-a1bb-4a59-8008-4eea8fadb45b,Spathodea campanulata,17.3,59.6,0.64,177.6835143,-17.572184
Nick Metherall Nasolo June 2022,cddaae2e-99a0-481f-a683-132e8a76cbd3,Spathodea campanulata,17.1,17.1,0.64,177.683518,-17.5722355
Nick Metherall Nasolo June 2022,654a2239-e1d2-40fd-b904-0b2e99696631,Spathodea campanulata,6.7,9.3,#N/A,177.6835328,-17.57218933
Nick Metherall Nasolo June 2022,ad81c69b-8da7-4198-91b9-a95331df11a6,Spathodea campanulata,14.2,17.2,0.45,177.68356,-17.57218483
Nick Metherall Nasolo June 2022,b2dec534-6ac6-4ead-b169-ad28ddd7f964,Spathodea campanulata,13.1,18.8,0.64,177.6835735,-17.572177
Nick Metherall Nasolo June 2022,9a9b7dc3-f374-48fb-a113-419f475ed922,Spathodea campanulata,7,12.7,#N/A,177.6835922,-17.572186
Nick Metherall Nasolo June 2022,650bb50b-f6d8-4f13-a40e-fcc3ebeb61d0,Spathodea campanulata,10,13.6,0.64,177.6835878,-17.57218417
Nick Metherall Nasolo June 2022,da2420f2-2077-4e08-a3bf-3ce0cf20dfc6,Spathodea campanulata,12.4,23.5,0.64,177.683567,-17.57219517
Nick Metherall Nasolo June 2022,fa751dba-6974-456b-bef1-d225581b08a0,Spathodea campanulata,12,13.8,0.64,177.6835582,-17.57215683
Nick Metherall Nasolo June 2022,2423530c-57c0-4722-b1c9-71c59a38638d,Spathodea campanulata,12.4,23.5,0.33,177.6835813,-17.57215867
Nick Metherall Nasolo June 2022,9bab033b-c881-4a76-bd1e-315c03da676f,Spathodea campanulata,10.2,20.6,0.64,177.6835468,-17.5721505
Nick Metherall Nasolo June 2022,4bce6892-9af0-4575-9342-42bea82f0eab,Spathodea campanulata,17.1,46.9,0.64,177.6835257,-17.57214533
Nick Metherall Nasolo June 2022,f344bcbb-59bf-4d41-bac4-96c9709d729e,Spathodea campanulata,23.5,14.7,0.64,177.6835755,-17.57214183
Nick Metherall Nasolo June 2022,1ebc9d2e-03c8-4113-926b-d39a5df3142d,Spathodea campanulata,9.2,17.2,0.64,177.6835632,-17.57213917
Nick Metherall Nasolo June 2022,dff3875d-b726-46eb-a144-5d2ef2d0ffc6,Mangifera indica,12.4,57.8,0.64,177.6836277,-17.5720895
Nick Metherall Nasolo June 2022,7a2be62d-836a-4d35-b114-e1d43ce816a7,Spathodea campanulata,9.5,14.7,0.64,177.6835885,-17.57212317
Nick Metherall Nasolo June 2022,29c52061-6817-499a-86be-d94531450279,Spathodea campanulata,6.5,11,#N/A,177.6835873,-17.572112
Nick Metherall Nasolo June 2022,f24fb86f-073c-4877-93a0-f57bdeab9c80,Spathodea campanulata,7.4,10.4,0.25,177.6836183,-17.57214833
Nick Metherall Nasolo June 2022,77e17b82-0acf-4cf4-b4e3-e49657d43a47,Spathodea campanulata,8.8,9.8,0.64,177.6836023,-17.57214167
Nick Metherall Nasolo June 2022,a17497fa-17e1-4c9d-9bd1-61a649583efc,Spathodea campanulata,5.7,6.7,0.64,177.6836882,-17.5721255
Nick Metherall Nasolo June 2022,59be8d36-1556-40c4-832d-ad965f74a743,Spathodea campanulata,4.7,10,0.64,177.6836348,-17.57214767
Nick Metherall Nasolo May 2023,b86bbbe5-5b1e-4b56-a967-74729aedc6cc,Samanea saman,7.5,119,0.64,177.7267325,-17.59102533
Nick Metherall Nasolo May 2023,244bc540-df9b-46d2-b7dc-a2751554dba1,Carica papaya,5.5,18.5,0.64,177.7267185,-17.5910455
Nick Metherall Nasolo May 2023,da67f6fd-3757-4220-8490-dab7804bc441,Pear,5.5,15.5,0.64,177.7267227,-17.59100783
Nick Metherall Nasolo May 2023,aa8c5962-64b3-4e86-855a-1d0f1231aea6,Pear,4.4,10.5,0.64,177.726705,-17.59100633
Nick Metherall Nasolo May 2023,ab30f346-dc52-491d-9f2e-d4d478797469,Pear,5,5.5,0.64,177.7266945,-17.59092483
Nick Metherall Nasolo May 2023,2db6b610-45f7-484f-b61b-3ba03e9f5c00,Pear,5.7,6,0.64,177.7266877,-17.59095017
Nick Metherall Nasolo May 2023,acabf0bd-f743-4444-9aeb-5f73fb2fb335,Pear,3.6,51.5,0.64,177.7266863,-17.59095833
Nick Metherall Nasolo May 2023,b1ba2f3c-0156-4c72-949d-b9764b0c8967,Pear,3.4,5,#N/A,177.726685,-17.59098567
Nick Metherall Nasolo May 2023,47ace76c-a088-4902-8cb4-94cf96cbc3bb,Carica papaya,5.5,5,0.64,177.7266702,-17.5909305
Nick Metherall Nasolo May 2023,08ba8d7b-648c-4baf-8629-215fc05b439e,Carica papaya,8,8.5,0.25,177.7266655,-17.590946
Nick Metherall Nasolo May 2023,ebe6388f-e6b6-448b-82d8-6b3a1d07fc97,Samanea saman,7.6,27,0.52,177.7266218,-17.59094817
Nick Metherall Nasolo May 2023,c8e1aa4b-bb06-4fd1-9709-206317863a88,Pear,3.5,5,0.64,177.7266245,-17.5909475
Nick Metherall Nasolo May 2023,e05d5ae4-b769-4852-a17b-907f35f606fe,Pear,3.5,5,0.64,177.7266245,-17.5909475
Nick Metherall Nasolo May 2023,5274d702-7c23-4076-9895-c1b69d08a3c7,Samanea saman,3.7,7.5,0.45,177.7266242,-17.59095817
Nick Metherall Nasolo May 2023,3ce77b31-1c1c-4f1e-8174-efdb7f81d8be,Samanea saman,12.1,64.5,0.64,177.7266988,-17.59093667
Nick Metherall Nasolo May 2023,c8d563ff-3d9f-4995-889b-b09209e97e3a,Pear,4.2,7.5,0.64,177.7267525,-17.59094033
Nick Metherall Nasolo May 2023,ecb9c36e-bfce-4eb7-b410-633972b622f8,Pear,4,16,0.64,177.7267415,-17.590943
Nick Metherall Nasolo May 2023,b09caae6-b253-4b9e-92d4-05d2ffaf0097,Pear,3.2,17,0.45,177.7267547,-17.59098083
Nick Metherall Nasolo May 2023,3bdd7f88-56b6-449a-be98-e04c5e700fd6,Carica papaya,5.8,9.5,0.64,177.7267965,-17.59102533
Nick Metherall Nasolo May 2023,5c5ee2e8-dcab-457b-a70f-21a68e95e069,Carica papaya,5.2,6,#N/A,177.726792,-17.59100383
Nick Metherall Nasolo May 2023,e9278899-519c-4fc0-894e-294724d54aff,Carica papaya,4.5,6.5,#N/A,177.7267877,-17.59099933
Nick Metherall Nasolo May 2023,fe2729b3-0568-4768-9d14-3316db0a4649,Samanea saman,11.8,72,#N/A,177.726762,-17.5909565
Nick Metherall Nasolo May 2023,9c001087-a504-4d6b-8e59-0ad76753f512,Rhizophora spp.,9.5,5.4,0.45,177.7267635,-17.590943
Nick Metherall Nasolo May 2023,6a9b3b11-dc06-42ee-89a2-e0300ff6c359,Rhizophora spp.,4.3,14,0.45,177.7267828,-17.5909345
Nick Metherall Nasolo May 2023,bb0c91fd-07c0-4eea-ac0f-f69055765a6f,Rhizophora spp.,3.6,13,0.45,177.7268015,-17.59095567
Nick Metherall Nasolo May 2023,dd4362db-74cd-4a1e-a226-cdab095ae663,Rhizophora spp.,4.4,18.5,0.25,177.7268102,-17.59095883
Nick Metherall Nasolo May 2023,097ecb9a-004c-4811-bf2c-b2ac313161df,Samanea saman,8.9,70,0.64,177.7267715,-17.5909095
Nick Metherall Nasolo May 2023,a1ec0c7d-c8ba-40c3-b53c-18f57ea4a9b2,Samanea saman,9.5,64.5,0.64,177.726751,-17.590894
Nick Metherall Nasolo May 2023,7673167d-d42a-4bed-ae57-780c0a943d7d,Rhizophora spp.,4.8,7,0.53,177.7267563,-17.590892
