Surveyor,GlobalID,Tree species scientific,Height of tree (m),DBH (cm),Density,Chave biomass (kg),Chave tCO2eq- ,Chave biomass (wd = 0.45),x,y
Nick Metherall Nasolo May 2023,acabf0bd-f743-4444-9aeb-5f73fb2fb335,Pear,3.6,51.5,0.64,333.615078,0.611627643,236.5644219,177.7266863,-17.59095833
Nick Metherall Nasolo May 2023,b1ba2f3c-0156-4c72-949d-b9764b0c8967,Pear,3.4,5,#N/A,#N/A,#N/A,2.358649177,177.726685,-17.59098567
Nick Metherall Nasolo May 2023,47ace76c-a088-4902-8cb4-94cf96cbc3bb,Carica papaya,5.5,5,0.64,5.319001983,0.009751504,3.771671943,177.7266702,-17.5909305
Nick Metherall Nasolo May 2023,08ba8d7b-648c-4baf-8629-215fc05b439e,Carica papaya,8,8.5,0.25,8.630701233,0.015822952,15.31764669,177.7266655,-17.590946
Nick Metherall Nasolo May 2023,ebe6388f-e6b6-448b-82d8-6b3a1d07fc97,Samanea saman,7.6,27,0.52,160.1512974,0.293610712,139.0742131,177.7266218,-17.59094817
Nick Metherall Nasolo May 2023,c8e1aa4b-bb06-4fd1-9709-206317863a88,Pear,3.5,5,0.64,3.421736627,0.006273184,2.426332622,177.7266245,-17.5909475
Nick Metherall Nasolo May 2023,e05d5ae4-b769-4852-a17b-907f35f606fe,Pear,3.5,5,0.64,3.421736627,0.006273184,2.426332622,177.7266245,-17.5909475
Nick Metherall Nasolo May 2023,5274d702-7c23-4076-9895-c1b69d08a3c7,Samanea saman,3.7,7.5,0.45,5.652426795,0.010362782,5.652426795,177.7266242,-17.59095817
Nick Metherall Nasolo May 2023,3ce77b31-1c1c-4f1e-8174-efdb7f81d8be,Samanea saman,12.1,64.5,0.64,1690.074321,3.098469589,1198.421418,177.7266988,-17.59093667
Nick Metherall Nasolo May 2023,c8d563ff-3d9f-4995-889b-b09209e97e3a,Pear,4.2,7.5,0.64,9.021060852,0.016538612,6.396779362,177.7267525,-17.59094033
Nick Metherall Nasolo May 2023,ecb9c36e-bfce-4eb7-b410-633972b622f8,Pear,4,16,0.64,37.74848067,0.069205548,26.76721796,177.7267415,-17.590943
Nick Metherall Nasolo May 2023,b09caae6-b253-4b9e-92d4-05d2ffaf0097,Pear,3.2,17,0.45,24.23333305,0.044427777,24.23333305,177.7267547,-17.59098083
Nick Metherall Nasolo May 2023,3bdd7f88-56b6-449a-be98-e04c5e700fd6,Carica papaya,5.8,9.5,0.64,19.60960827,0.035950948,13.90505391,177.7267965,-17.59102533
Nick Metherall Nasolo May 2023,5c5ee2e8-dcab-457b-a70f-21a68e95e069,Carica papaya,5.2,6,#N/A,#N/A,#N/A,5.097074505,177.726792,-17.59100383
Nick Metherall Nasolo May 2023,e9278899-519c-4fc0-894e-294724d54aff,Carica papaya,4.5,6.5,#N/A,#N/A,#N/A,5.174790394,177.7267877,-17.59099933
Nick Metherall Nasolo May 2023,fe2729b3-0568-4768-9d14-3316db0a4649,Samanea saman,11.8,72,#N/A,#N/A,#N/A,1449.50711,177.726762,-17.5909565
Nick Metherall Nasolo May 2023,9c001087-a504-4d6b-8e59-0ad76753f512,Rhizophora spp.,9.5,5.4,0.45,7.472076947,0.013698808,7.472076947,177.7267635,-17.590943
Nick Metherall Nasolo May 2023,6a9b3b11-dc06-42ee-89a2-e0300ff6c359,Rhizophora spp.,4.3,14,0.45,22.13388331,0.040578786,22.13388331,177.7267828,-17.5909345
Nick Metherall Nasolo May 2023,bb0c91fd-07c0-4eea-ac0f-f69055765a6f,Rhizophora spp.,3.6,13,0.45,16.1034579,0.029523006,16.1034579,177.7268015,-17.59095567
Nick Metherall Nasolo May 2023,dd4362db-74cd-4a1e-a226-cdab095ae663,Rhizophora spp.,4.4,18.5,0.25,21.97523554,0.040287932,39.00133776,177.7268102,-17.59095883
Nick Metherall Nasolo May 2023,097ecb9a-004c-4811-bf2c-b2ac313161df,Samanea saman,8.9,70,0.64,1469.206156,2.69354462,1041.805146,177.7267715,-17.5909095
Nick Metherall Nasolo May 2023,a1ec0c7d-c8ba-40c3-b53c-18f57ea4a9b2,Samanea saman,9.5,64.5,0.64,1334.644253,2.446847796,946.3881188,177.726751,-17.590894
Nick Metherall Nasolo May 2023,7673167d-d42a-4bed-ae57-780c0a943d7d,Rhizophora spp.,4.8,7,0.53,7.471901443,0.013698486,6.369030072,177.7267563,-17.590892
Nick Metherall Nasolo May 2023,dac648ac-92e7-42df-8119-031ea7974484,Rhizophora spp.,4.6,5.5,0.45,3.815839429,0.006995706,3.815839429,177.7267508,-17.590896
Nick Metherall Nasolo May 2023,ad3fdf82-3052-472e-bbc2-e99570f59822,Rhizophora spp.,4.6,6.5,0.64,7.45598859,0.013669312,5.286996143,177.7267655,-17.59090483
Nick Metherall Nasolo May 2023,c2930af9-0e28-4ae7-a943-94966be091e3,Rhizophora spp.,4.8,15.5,0.64,42.39021715,0.077715398,30.05864506,177.7267043,-17.59085983
Nick Metherall Nasolo May 2023,1a83c0f8-b047-412a-b617-a5d3d7ccba95,Rhizophora spp.,4.2,21,0.64,67.31472712,0.123410333,47.73246342,177.7266947,-17.59086283
Nick Metherall Nasolo May 2023,eb42e313-4a62-4a8a-8a54-4aa1bd0932f0,Samanea saman,20.3,60.5,0.25,987.4318627,1.810291748,1752.480128,177.7288683,-17.59144867
Nick Metherall Nasolo May 2023,2fbe9f09-7147-4ba7-95b2-4b8951f84359,Samanea saman,18.4,162,0.25,6135.359516,11.24815911,10888.94944,177.7289883,-17.59149067
Nick Metherall Nasolo May 2023,15c960bd-8f90-4994-a313-61dda1156527,Samanea saman,19.3,131,0.64,10628.31021,19.48523538,7536.470098,177.7289525,-17.59148133
Nick Metherall Nasolo May 2023,e7c3bb9f-0ccc-4414-b159-314cdd6b3819,Oki,11.4,32,#N/A,#N/A,#N/A,287.8341837,177.7289092,-17.59147
Nick Metherall Nasolo May 2023,b1c4dcfd-e76f-47a6-844a-b17d6865454b,Samanea saman,20.3,122,0.64,9717.112735,17.81470668,6890.345516,177.7287645,-17.59141383
Nick Metherall Nasolo May 2023,57472e7d-58a1-417d-aa85-d8c2b47b1633,Samanea saman,18.7,137,0.64,11247.15483,20.61978386,7975.289059,177.7318573,-17.58475117
Nick Metherall Nasolo May 2023,f0948010-d389-457d-b461-2c0e646385e7,Carica papaya,6.3,13.5,0.64,42.20992799,0.077384868,29.93080311,177.7318477,-17.58482383
Nick Metherall Nasolo May 2023,ff65a9a3-4a76-4cee-bfc4-adcca3f48856,Carica papaya,5.4,16,0.64,50.5947244,0.092756995,35.87641123,177.731862,-17.5848215
Nick Metherall Nasolo May 2023,504df925-66a7-4839-8c0c-f34c2d853a05,Carica papaya,3.2,7,0.25,2.415807169,0.00442898,4.287540453,177.7318615,-17.58480267
Nick Metherall Nasolo May 2023,cdb69ab2-d7ae-4c5c-8782-4e5d649dd7cb,Carica papaya,3.4,7.5,0.64,7.339892985,0.01345647,5.204673456,177.7318597,-17.58479867
Nick Metherall Nasolo May 2023,008354d9-ac1d-4048-84b1-430490931e90,Carica papaya,3.6,15,0.25,11.99736554,0.02199517,21.29275495,177.7318533,-17.5847995
Nick Metherall Nasolo May 2023,76d92fd8-9cf5-4a5e-b45c-c9033e77457d,Tamarind,4.2,28,#N/A,#N/A,#N/A,83.69398798,177.7323548,-17.58230067
Nick Metherall Nasolo May 2023,6f584f1c-7ba4-467f-9b2a-a501464a1deb,Carica papaya,6.5,15.5,0.64,56.98724078,0.104476608,40.4093057,177.7324143,-17.58216617
Nick Metherall Nasolo May 2023,8078684f-e788-4f26-a83d-39d8c5ffe76f,Carica papaya,6.2,5.5,0.25,2.877178269,0.005274827,5.106375368,177.732425,-17.58217433
Nick Metherall Nasolo May 2023,04c8388a-f175-4188-9ead-db6f00a017ed,Carica papaya,7.1,10,0.64,26.40431269,0.048407907,18.72313747,177.7324367,-17.58218383
Nick Metherall Nasolo May 2023,7d3b0068-3aa3-47b0-8a54-9f841b3c0a4f,Carica papaya,3.7,6,0.64,5.156592852,0.009453754,3.656508616,177.7324398,-17.58215783
Nick Metherall Nasolo May 2023,91f5229a-f0e6-48b8-81c8-56ceae352222,Carica papaya,7.2,10,0.64,26.76721796,0.049073233,18.98047139,177.7324388,-17.582159
Nick Metherall Nasolo May 2023,e59b2434-6453-41bc-926b-a0f96b890800,Carica papaya,8.1,10.5,0.64,33.02855769,0.060552356,23.42034929,177.7324228,-17.5821555
Nick Metherall Nasolo May 2023,ffde077b-8925-4711-b572-a6d4dd8d9c79,Samanea saman,12.7,90,0.25,1356.432924,2.486793695,2407.378002,177.7171978,-17.58756067
Nick Metherall Nasolo May 2023,ede2f7aa-3592-4a4f-bcd0-a87fbad7f09f,Carica papaya,3.8,5.5,0.64,4.465843288,0.008187379,3.166702303,177.7171923,-17.58753267
Nick Metherall Nasolo May 2023,d0bf7164-2405-43d5-a2e0-b237e05205bb,Carica papaya,2.9,5,#N/A,#N/A,#N/A,2.019483793,177.717217,-17.58754267
Nick Metherall Nasolo May 2023,4cc89bb6-f09a-47d2-8999-f766d51cabcb,Carica papaya,5.1,13,0.64,31.9045508,0.058491676,22.62332285,177.7171293,-17.58765433
Nick Metherall Nasolo May 2023,4c232d9b-6a0f-4d34-9b4f-96a7150db89b,Samanea saman,10.9,117,0.25,1949.986375,3.57497502,3460.808285,177.6791553,-17.540247
Nick Metherall Nasolo May 2023,53628698-7a64-415c-bc3d-9d1b3cb73609,Samanea saman,12.4,121,0.25,2361.462864,4.329348583,4191.090948,177.6796607,-17.54038917
Nick Metherall Nasolo May 2023,04519add-f512-40b8-a162-6c09de3aaa97,Bruguiera spp.,10.8,91,0.25,1183.245594,2.169283588,2100.007573,177.6799887,-17.5403105
Nick Metherall Nasolo May 2023,3e4b7af6-727f-41bf-94f3-7b932b865742,Bruguiera spp.,10.6,168,#N/A,#N/A,#N/A,6824.2153,177.679998,-17.54031717
Nick Metherall Nasolo May 2023,850a6ee8-2d83-4ac3-945e-5ba444314210,Bruguiera spp.,11.3,94.5,#N/A,#N/A,#N/A,2362.642047,177.679888,-17.54032117
Nick Metherall Nasolo May 2023,77161f52-6109-4719-9d35-7d6c8f3458a1,Bruguiera spp.,3.8,27,0.64,99.70973838,0.182801187,70.7035688,177.6799133,-17.54032333
Nick Metherall Nasolo May 2023,db2124a3-7af7-46ba-a72e-e9e85fc0fa21,Bruguiera spp.,8.6,40.5,0.64,488.2805359,0.895180983,346.2367571,177.679916,-17.540323
Nick Metherall Nasolo May 2023,a442e54e-e004-43e0-9ae8-79519819bf65,Bruguiera spp.,12.1,22.5,0.64,216.3244039,0.39659474,153.3943186,177.6799183,-17.54030783
Nick Metherall Nasolo May 2023,c5fb08ca-915e-4705-a4ff-1507c7788c1e,Bruguiera spp.,6.9,18,#N/A,#N/A,#N/A,57.3533936,177.679883,-17.5403
Nick Metherall Nasolo May 2023,af9e66e5-921c-495b-9a41-c975a38fb977,Bruguiera spp.,7.4,18.5,#N/A,#N/A,#N/A,64.77983686,177.6798907,-17.54028367
Nick Metherall Nasolo May 2023,7ff460d9-53bc-4bfe-b7d4-6b3d20cb98ab,Bruguiera spp.,7.7,41.5,#N/A,#N/A,#N/A,325.9832687,177.6799065,-17.54027567
Nick Metherall Nasolo May 2023,c6111971-8f8d-49a4-9fa0-4f74ec8e8465,Bruguiera spp.,3.9,9,#N/A,#N/A,#N/A,8.493973712,177.679928,-17.54028817
Nick Metherall Nasolo May 2023,5d05d19b-d269-4354-80ad-71214d988d73,Bruguiera spp.,4.6,7.5,0.64,9.858661351,0.018074212,6.990716779,177.6799015,-17.5402835
Nick Metherall Nasolo May 2023,dfb691e2-681e-4759-a486-acd0e18591f2,Samanea saman,14.4,98,0.45,3213.55376,5.891515227,3213.55376,177.6794082,-17.54576917
Nick Metherall Nasolo May 2023,c9eee188-3178-482d-a877-11e91d290d9b,Samanea saman,14.5,183,#N/A,#N/A,#N/A,10948.38787,177.6794377,-17.5459055
Nick Metherall Nasolo May 2023,829d4772-efd6-4160-a7ef-2882c61f3e74,Samanea saman,16.4,85,#N/A,#N/A,#N/A,2763.527664,177.6792583,-17.54585683
Nick Metherall Nasolo May 2023,80265145-482a-4793-84c5-fd26655b4fae,Samanea saman,16.2,81,#N/A,#N/A,#N/A,2485.420572,177.679272,-17.54606767
Nick Metherall Nasolo May 2023,dc28c91d-8c6c-4f61-81ce-797fe8969e44,Samanea saman,15.7,162,#N/A,#N/A,#N/A,9326.567695,177.6792335,-17.54604317
Nick Metherall Nasolo May 2023,54fe89e2-3146-494d-8be1-d8a1eca838b1,Samanea saman,17.6,81.5,#N/A,#N/A,#N/A,2727.41041,177.6817618,-17.51569633
Nick Metherall Nasolo May 2023,967f25e0-ee71-4ed7-804c-e4f23000dfcf,Carica papaya,3.2,5.5,#N/A,#N/A,#N/A,2.677717929,177.681753,-17.51569783
Nick Metherall Nasolo May 2023,9a52afc3-fa28-4cd6-9799-1263f92c7e27,Samanea saman,16.2,105,#N/A,#N/A,#N/A,4124.759616,177.6817627,-17.51571317
Nick Metherall Nasolo May 2023,007de939-735b-4bcf-b83f-0d02bb6d3a6e,Carica papaya,3.4,5,0.45,2.358649177,0.00432419,2.358649177,177.6817538,-17.515686
Nick Metherall Nasolo May 2023,3d60a347-c046-4ee1-a33b-b5378946db20,Carica papaya,2.8,5,#N/A,#N/A,#N/A,1.951489257,177.6817445,-17.5156975
Nick Metherall Nasolo May 2023,ccaaa545-1d47-46bb-99d9-84b75b5e1205,Carica papaya,3.1,6,0.45,3.076597846,0.005640429,3.076597846,177.6817402,-17.51570967
Nick Metherall Nasolo May 2023,c57f58e2-4517-4144-93bf-d5d0b68f7694,Carica papaya,3.9,6,#N/A,#N/A,#N/A,3.849291271,177.6818277,-17.51566467
Nick Metherall Nasolo May 2023,259fcb29-20f4-42aa-b77f-10f0dc913980,Carica papaya,5.3,5,#N/A,#N/A,#N/A,3.637752726,177.6818203,-17.515651
Nick Metherall Nasolo May 2023,90102f22-80e2-44a2-b95a-c4d8ba3946b1,Carica papaya,3.5,5.5,#N/A,#N/A,#N/A,2.922461906,177.6818203,-17.51564183
Nick Metherall Nasolo May 2023,544d0d43-84ae-436f-a160-66c562def96a,Carica papaya,5.2,5,#N/A,#N/A,#N/A,3.570747901,177.681815,-17.5156385
Nick Metherall Nasolo May 2023,ae9ce958-107b-450f-98ff-4b2153f319d9,Carica papaya,5.3,5,#N/A,#N/A,#N/A,3.637752726,177.681803,-17.51565483
Nick Metherall Nasolo May 2023,7ae52bfc-0d8b-4082-9fd2-7a0b846851e5,Carica papaya,6,6,#N/A,#N/A,#N/A,5.86107581,177.6817605,-17.51564383
Nick Metherall Nasolo May 2023,d4cc00e0-f118-4130-8e0e-382c824679dd,Carica papaya,5,5,#N/A,#N/A,#N/A,3.436644825,177.6817262,-17.51566217
Nick Metherall Nasolo May 2023,9c33ff86-56ae-494c-824d-b7a84cd637a4,Carica papaya,2.3,5.5,#N/A,#N/A,#N/A,1.939924445,177.6817612,-17.51565117
Nick Metherall Nasolo May 2023,32a6ecd9-a75a-444f-8b09-3d75fa5c6a91,Carica papaya,4.6,6,#N/A,#N/A,#N/A,4.522237449,177.6817605,-17.51561333
Nick Metherall Nasolo May 2023,d2ac5a0a-d876-419c-8b55-0cf7ba2c8522,Carica papaya,4.2,9,#N/A,#N/A,#N/A,9.131101356,177.6816922,-17.51568517
Nick Metherall Nasolo May 2023,ae773d7b-7bc4-40b2-82e4-5d510fbc441d,Carica papaya,4,6,#N/A,#N/A,#N/A,3.945592869,177.6816955,-17.51567233
Nick Metherall Nasolo May 2023,a4088223-b0e0-4be1-92d2-f4d10e029ef6,Carica papaya,3.6,6.5,#N/A,#N/A,#N/A,4.162062433,177.6816858,-17.51568233
Nick Metherall Nasolo May 2023,6cb7d180-f47a-490b-81a5-a91db8416240,Carica papaya,2.9,6,#N/A,#N/A,#N/A,2.88271803,177.6816712,-17.515714
Nick Metherall Nasolo May 2023,22d85a0b-2b90-40dd-a25d-b4241cb190c8,Carica papaya,2.8,5,#N/A,#N/A,#N/A,1.951489257,177.6816582,-17.51571567
Nick Metherall Nasolo May 2023,ec80f21d-563b-439a-82d8-6773b03bfdda,Carica papaya,2.6,5,#N/A,#N/A,#N/A,1.815323015,177.6816688,-17.51572233
Nick Metherall Nasolo May 2023,ac7f4c1e-176b-496e-bca7-e77dd599b9f7,Samanea saman,18.9,118,#N/A,#N/A,#N/A,6021.308473,177.6816877,-17.515713
Nick Metherall Nasolo May 2023,dd934c61-e13c-4959-9470-990911cffd5a,Carica papaya,5.5,16,#N/A,#N/A,#N/A,36.52470095,177.681749,-17.51581317
Nick Metherall Nasolo May 2023,5fae6997-ec2d-485f-83ad-4c5e442d6514,Carica papaya,3.8,10,#N/A,#N/A,#N/A,10.17230253,177.6817855,-17.51579267
